"project_name","period_date","planned_spend","actual_spend","cumulative_planned","cumulative_actual","cumulative_variance"
"Las Vegas Data Center Phase 2","2021-05-01","1657734.42","1513086.14","7185063.58","6986488.51","-198575.07"
"Las Vegas Data Center Phase 2","2021-06-01","1634410.83","1689220.62","8819474.41","8675709.13","-143765.28"
"Las Vegas Data Center Phase 2","2021-07-01","905431.05","966025.48","9724905.46","9641734.61","-83170.85"
"Las Vegas Data Center Phase 2","2021-08-01","917758.04","893946.24","10642663.50","10535680.85","-106982.65"
"Las Vegas Data Center Phase 2","2021-09-01","1501861.46","1318118.83","12144524.96","11853799.68","-290725.28"
"Las Vegas Data Center Phase 2","2021-10-01","1678821.61","1696699.74","13823346.57","13550499.42","-272847.15"
"Las Vegas Data Center Phase 2","2021-11-01","907841.75","993208.57","14731188.32","14543707.99","-187480.33"
"Las Vegas Data Center Phase 2","2021-12-01","968959.80","1104441.43","15700148.12","15648149.42","-51998.70"
"Las Vegas Data Center Phase 2","2022-01-01","732787.79","877210.11","16432935.91","16525359.53","92423.62"
"Phoenix Data Center Build 1","2020-10-01","1041222.23","896585.61","1041222.23","896585.61","-144636.62"
"Phoenix Data Center Build 1","2020-11-01","837445.20","822379.02","1878667.43","1718964.63","-159702.80"
"Phoenix Data Center Build 1","2020-12-01","896364.03","961674.75","2775031.46","2680639.38","-94392.08"
"Phoenix Data Center Build 1","2021-01-01","1085332.71","953942.49","3860364.17","3634581.87","-225782.30"
"Phoenix Data Center Build 1","2021-02-01","1204029.27","1295195.40","5064393.44","4929777.27","-134616.17"
"Phoenix Data Center Build 1","2021-03-01","775793.24","924796.15","5840186.68","5854573.42","14386.74"
"Phoenix Data Center Build 1","2021-04-01","1311084.25","1525022.95","7151270.93","7379596.37","228325.44"
"Phoenix Data Center Build 1","2021-05-01","1265526.90","1177469.35","8416797.83","8557065.72","140267.89"
"Phoenix Data Center Build 1","2021-06-01","1250632.62","1366066.89","9667430.45","9923132.61","255702.16"
"Phoenix Data Center Build 1","2021-07-01","971987.35","918414.58","10639417.80","10841547.19","202129.39"
"Phoenix Data Center Build 1","2021-08-01","1269698.02","1383399.55","11909115.82","12224946.74","315830.92"
"Phoenix Data Center Build 1","2021-09-01","733393.09","762773.36","12642508.91","12987720.10","345211.19"
"Phoenix Data Center Build 1","2021-10-01","1048065.54","956647.05","13690574.45","13944367.15","253792.70"
"Denver Data Center Phase 1","2022-07-01","3646335.27","3119368.11","3646335.27","3119368.11","-526967.16"
"Denver Data Center Phase 1","2022-08-01","2029173.40","1827203.78","5675508.67","4946571.89","-728936.78"
"Denver Data Center Phase 1","2022-09-01","3571577.62","4062011.79","9247086.29","9008583.68","-238502.61"
"Denver Data Center Phase 1","2022-10-01","3843549.74","3669617.24","13090636.03","12678200.92","-412435.11"
"Denver Data Center Phase 1","2022-11-01","2926159.04","3067620.02","16016795.07","15745820.94","-270974.13"
"Denver Data Center Phase 1","2022-12-01","3643858.57","3960736.67","19660653.64","19706557.61","45903.97"
"Denver Data Center Phase 1","2023-01-01","2867342.72","2822457.84","22527996.36","22529015.45","1019.09"
"Denver Data Center Phase 1","2023-02-01","3368082.67","3794732.29","25896079.03","26323747.74","427668.71"
"Denver Data Center Phase 1","2023-03-01","3241291.40","2844070.14","29137370.43","29167817.88","30447.45"
"Denver Data Center Phase 1","2023-04-01","3382440.95","3284522.07","32519811.38","32452339.95","-67471.43"
"Denver Data Center Phase 1","2023-05-01","1753962.97","1633378.72","34273774.35","34085718.67","-188055.68"
"Denver Data Center Phase 1","2023-06-01","1699491.36","1804535.32","35973265.71","35890253.99","-83011.72"
"Denver Data Center Phase 1","2023-07-01","3051623.96","3230031.15","39024889.67","39120285.14","95395.47"
"Denver Data Center Phase 1","2023-08-01","3944223.24","3803145.58","42969112.91","42923430.72","-45682.19"
"Denver Data Center Phase 1","2023-09-01","3102551.30","3488018.01","46071664.21","46411448.73","339784.52"
"Denver Data Center Phase 1","2023-10-01","2641054.42","2455780.32","48712718.63","48867229.05","154510.42"
"Denver Data Center Phase 1","2022-04-01","3874515.18","3802447.06","3874515.18","3802447.06","-72068.12"
"Denver Data Center Phase 1","2022-05-01","2640289.34","2785653.88","6514804.52","6588100.94","73296.42"
"Denver Data Center Phase 1","2022-06-01","3293306.48","3689354.88","9808111.00","10277455.82","469344.82"
"Denver Data Center Phase 1","2022-07-01","3008714.56","2816931.34","12816825.56","13094387.16","277561.60"
"Denver Data Center Phase 1","2022-08-01","2263162.61","2135950.72","15079988.17","15230337.88","150349.71"
"Denver Data Center Phase 1","2022-09-01","3293062.12","3702592.59","18373050.29","18932930.47","559880.18"
"Denver Data Center Phase 1","2022-10-01","2534572.11","2500020.04","20907622.40","21432950.51","525328.11"
"Denver Data Center Phase 1","2022-11-01","3228209.75","2847384.79","24135832.15","24280335.30","144503.15"
"Denver Data Center Phase 1","2022-12-01","5184759.09","5214092.14","29320591.24","29494427.44","173836.20"
"Denver Data Center Phase 1","2023-01-01","4574488.36","4051994.85","33895079.60","33546422.29","-348657.31"
"Denver Data Center Phase 1","2023-02-01","2309502.55","2311449.07","36204582.15","35857871.36","-346710.79"
"Denver Data Center Phase 1","2023-03-01","3887779.19","4001902.21","40092361.34","39859773.57","-232587.77"
"Denver Data Center Phase 1","2023-04-01","2363252.36","2082891.68","42455613.70","41942665.25","-512948.45"
"Denver Data Center Phase 1","2023-05-01","3878487.29","4107021.70","46334100.99","46049686.95","-284414.04"
"Denver Data Center Phase 1","2023-06-01","4652084.44","5360603.24","50986185.43","51410290.19","424104.76"
"Denver Data Center Phase 1","2023-07-01","2057628.26","2046997.57","53043813.69","53457287.76","413474.07"
"Denver Data Center Phase 1","2023-08-01","4634377.11","5114940.45","57678190.80","58572228.21","894037.41"
"Dallas Data Center Phase 1","2023-01-01","4573885.48","5477024.64","4573885.48","5477024.64","903139.16"
"Dallas Data Center Phase 1","2023-02-01","3324265.88","3431927.50","7898151.36","8908952.14","1010800.78"
"Dallas Data Center Phase 1","2023-03-01","5070032.66","4610310.55","12968184.02","13519262.69","551078.67"
"Dallas Data Center Phase 1","2023-04-01","3427520.98","3235382.31","16395705.00","16754645.00","358940.00"
"Dallas Data Center Phase 1","2023-05-01","2942400.10","2673236.96","19338105.10","19427881.96","89776.86"
"Dallas Data Center Phase 1","2023-06-01","3455302.29","3299514.07","22793407.39","22727396.03","-66011.36"
"Dallas Data Center Phase 1","2023-07-01","5454040.08","5325290.48","28247447.47","28052686.51","-194760.96"
"Dallas Data Center Phase 1","2023-08-01","6091309.47","6714540.63","34338756.94","34767227.14","428470.20"
"Dallas Data Center Phase 1","2023-09-01","4322481.15","4607047.71","38661238.09","39374274.85","713036.76"
"Dallas Data Center Phase 1","2023-10-01","4172820.58","3744778.21","42834058.67","43119053.06","284994.39"
"Dallas Data Center Phase 1","2023-11-01","2393442.86","2365899.58","45227501.53","45484952.64","257451.11"
"Dallas Data Center Phase 1","2023-12-01","5686560.35","5589669.80","50914061.88","51074622.44","160560.56"
"Dallas Data Center Phase 1","2024-01-01","5767759.24","5791280.29","56681821.12","56865902.73","184081.61"
"Dallas Data Center Phase 1","2024-02-01","4065348.86","4627331.85","60747169.98","61493234.58","746064.60"
"Dallas Data Center Phase 1","2024-03-01","4934815.85","5221220.33","65681985.83","66714454.91","1032469.08"
"Dallas Data Center Phase 1","2024-04-01","3551839.65","3768942.10","69233825.48","70483397.01","1249571.53"
"Dallas Data Center Phase 1","2024-05-01","5109384.99","5199583.06","74343210.47","75682980.07","1339769.60"
"Dallas Data Center Phase 1","2024-06-01","3067452.97","3034888.44","77410663.44","78717868.51","1307205.07"
"Dallas Data Center Phase 1","2024-07-01","3625612.70","4014300.24","81036276.14","82732168.75","1695892.61"
"Chicago Data Center Build 1","2020-04-01","2019714.46","2400869.08","2019714.46","2400869.08","381154.62"
"Chicago Data Center Build 1","2020-05-01","2263920.87","2182555.97","4283635.33","4583425.05","299789.72"
"Chicago Data Center Build 1","2020-06-01","1442088.88","1622426.83","5725724.21","6205851.88","480127.67"
"Chicago Data Center Build 1","2020-07-01","1580867.83","1859453.90","7306592.04","8065305.78","758713.74"
"Chicago Data Center Build 1","2020-08-01","1310215.35","1571004.18","8616807.39","9636309.96","1019502.57"
"Chicago Data Center Build 1","2020-09-01","1277660.09","1429275.24","9894467.48","11065585.20","1171117.72"
"Chicago Data Center Build 1","2020-10-01","1027000.57","1134347.47","10921468.05","12199932.67","1278464.62"
"Chicago Data Center Build 1","2020-11-01","2527668.53","2333990.83","13449136.58","14533923.50","1084786.92"
"Chicago Data Center Build 1","2020-12-01","2289658.55","2612382.79","15738795.13","17146306.29","1407511.16"
"Chicago Data Center Build 1","2021-01-01","1096201.43","1257042.43","16834996.56","18403348.72","1568352.16"
"Chicago Data Center Build 1","2021-02-01","2285333.93","2480826.37","19120330.49","20884175.09","1763844.60"
"Chicago Data Center Build 1","2021-03-01","1210907.44","1157617.13","20331237.93","22041792.22","1710554.29"
"Chicago Data Center Build 1","2021-04-01","1396844.91","1262678.14","21728082.84","23304470.36","1576387.52"
"Chicago Data Center Build 1","2021-05-01","1676066.35","1645807.97","23404149.19","24950278.33","1546129.14"
"Chicago Data Center Build 1","2021-06-01","1718558.68","1820429.42","25122707.87","26770707.75","1647999.88"
"Chicago Data Center Build 1","2021-07-01","1936726.88","2008441.15","27059434.75","28779148.90","1719714.15"
"Chicago Data Center Build 1","2021-08-01","2495758.18","2881032.87","29555192.93","31660181.77","2104988.84"
"Chicago Data Center Build 1","2021-09-01","1668158.43","1439400.21","31223351.36","33099581.98","1876230.62"
"Chicago Data Center Build 1","2021-10-01","2569365.29","2814924.67","33792716.65","35914506.65","2121790.00"
"Chicago Data Center Build 1","2021-11-01","2313594.72","2447406.05","36106311.37","38361912.70","2255601.33"
"Chicago Data Center Build 1","2021-12-01","2480859.76","2203696.37","38587171.13","40565609.07","1978437.94"
"Chicago Data Center Build 1","2022-01-01","1389553.84","1504390.54","39976724.97","42069999.61","2093274.64"
"Chicago Data Center Build 1","2022-02-01","1255399.34","1336293.84","41232124.31","43406293.45","2174169.14"
"Chicago Data Center Build 1","2022-03-01","1905562.62","2049929.80","43137686.93","45456223.25","2318536.32"
"Chicago Data Center Build 1","2022-04-01","2042388.73","2427141.88","45180075.66","47883365.13","2703289.47"
"Chicago Data Center Build 1","2022-05-01","1526121.81","1722504.50","46706197.47","49605869.63","2899672.16"
"Richmond Data Center Phase 2","2021-06-01","609060.26","538721.29","609060.26","538721.29","-70338.97"
"Richmond Data Center Phase 2","2021-07-01","709189.12","788191.77","1318249.38","1326913.06","8663.68"
"Richmond Data Center Phase 2","2021-08-01","999069.65","1089667.83","2317319.03","2416580.89","99261.86"
"Richmond Data Center Phase 2","2021-09-01","708352.81","694852.91","3025671.84","3111433.80","85761.96"
"Richmond Data Center Phase 2","2021-10-01","917167.72","997735.79","3942839.56","4109169.59","166330.03"
"Richmond Data Center Phase 2","2021-11-01","1113336.85","1005076.78","5056176.41","5114246.37","58069.96"
"Richmond Data Center Phase 2","2021-12-01","1378432.97","1404581.68","6434609.38","6518828.05","84218.67"
"Richmond Data Center Phase 2","2022-01-01","772542.52","905567.88","7207151.90","7424395.93","217244.03"
"Richmond Data Center Phase 2","2022-02-01","591727.64","675138.28","7798879.54","8099534.21","300654.67"
"Richmond Data Center Phase 2","2022-03-01","1147599.98","1115369.67","8946479.52","9214903.88","268424.36"
"Richmond Data Center Phase 2","2022-04-01","813639.60","914933.25","9760119.12","10129837.13","369718.01"
"Richmond Data Center Phase 2","2022-05-01","967252.30","940077.45","10727371.42","11069914.58","342543.16"
"Richmond Data Center Phase 2","2022-06-01","601880.79","663692.67","11329252.21","11733607.25","404355.04"
"Richmond Data Center Phase 2","2022-07-01","908008.66","793155.57","12237260.87","12526762.82","289501.95"
"Richmond Data Center Phase 2","2022-08-01","556206.33","611144.30","12793467.20","13137907.12","344439.92"
"Seattle Data Center Phase 1","2020-02-01","2035182.03","1974283.85","2035182.03","1974283.85","-60898.18"
"Seattle Data Center Phase 1","2020-03-01","2318851.10","2620342.42","4354033.13","4594626.27","240593.14"
"Seattle Data Center Phase 1","2020-04-01","5001196.77","5547184.02","9355229.90","10141810.29","786580.39"
"Seattle Data Center Phase 1","2020-05-01","3648096.74","3805579.97","13003326.64","13947390.26","944063.62"
"Seattle Data Center Phase 1","2020-06-01","3043332.34","3040986.80","16046658.98","16988377.06","941718.08"
"Seattle Data Center Phase 1","2020-07-01","3471771.94","3920375.31","19518430.92","20908752.37","1390321.45"
"Seattle Data Center Phase 1","2020-08-01","4019990.26","3679237.49","23538421.18","24587989.86","1049568.68"
"Seattle Data Center Phase 1","2020-09-01","4110041.18","4062585.96","27648462.36","28650575.82","1002113.46"
"Seattle Data Center Phase 1","2020-10-01","4371817.93","5067304.57","32020280.29","33717880.39","1697600.10"
"Seattle Data Center Phase 1","2020-11-01","3430978.59","3432157.11","35451258.88","37150037.50","1698778.62"
"Seattle Data Center Phase 1","2020-12-01","1975899.90","1828060.38","37427158.78","38978097.88","1550939.10"
"Seattle Data Center Phase 1","2021-01-01","2871240.52","3147786.66","40298399.30","42125884.54","1827485.24"
"Seattle Data Center Phase 1","2021-02-01","4563441.08","4801067.52","44861840.38","46926952.06","2065111.68"
"Seattle Data Center Phase 1","2021-03-01","4574863.70","4748302.06","49436704.08","51675254.12","2238550.04"
"Seattle Data Center Phase 1","2021-04-01","3157101.84","2901300.81","52593805.92","54576554.93","1982749.01"
"Seattle Data Center Phase 1","2021-05-01","2333862.93","2531647.31","54927668.85","57108202.24","2180533.39"
"Seattle Data Center Phase 1","2021-06-01","3561437.88","4231240.14","58489106.73","61339442.38","2850335.65"
"Seattle Data Center Phase 1","2021-07-01","2985846.56","2944115.60","61474953.29","64283557.98","2808604.69"
"Seattle Data Center Phase 1","2021-08-01","3244548.69","2887587.42","64719501.98","67171145.40","2451643.42"
"Seattle Data Center Phase 1","2021-09-01","3111964.23","3143865.61","67831466.21","70315011.01","2483544.80"
